starttime,uid,saddr,sport,daddr,dport,proto,dur,appproto,spkts,dpkts,sbytes,dbytes,smac,dmac,state,history,type_,dir_,label
1499342444.612962,C3lPmWXnExe42i5s9,192.168.10.19,41574,192.168.10.3,88,6,0.001146078109741211,krb_tcp,10,10,1575,1576,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,RSTR,ShADTadtFr,conn,->,malicious
1499342443.20399,CrDUxx4prifD59wQrl,192.168.10.19,44302,192.168.10.3,53,17,0.00024390220642089844,dns,2,2,80,180,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.205024,CEVKChTBqzuSUReXi,192.168.10.19,24231,192.168.10.3,53,17,0.0002040863037109375,dns,2,2,142,242,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.205343,CX519kkxPCHW5uJi1,192.168.10.19,27139,192.168.10.3,53,17,0.0002090930938720703,dns,2,2,80,180,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.209364,CW0je5ZEPMvuNP6U4,192.168.10.19,49445,192.168.10.3,53,17,0.00020503997802734375,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.209706,C4HEDk3Yy3gj6Tkk,192.168.10.19,34522,192.168.10.3,53,17,0.0002028942108154297,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.210472,CqfAdv1gAqgV9QYU8f,192.168.10.19,49763,192.168.10.3,53,17,0.00019097328186035156,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.210477,CScStl4FEl0zzrmW4l,192.168.10.19,14308,192.168.10.3,53,17,0.0002357959747314453,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.21147,CkIptV3X5RbXSUfSc3,192.168.10.19,27081,192.168.10.3,53,17,0.0002090930938720703,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.211947,CChW7OlaoUZfqvysc,192.168.10.19,65205,192.168.10.3,53,17,0.00021600723266601562,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.21227,C1pXXb3cWU2ikAkQHb,192.168.10.19,19704,192.168.10.3,53,17,0.0002079010009765625,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.212626,CJFW9c4HKQbuLNYj9d,192.168.10.19,41900,192.168.10.3,53,17,0.00021004676818847656,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.212675,CB0un1GiI4Q5pXXN2,192.168.10.19,29080,192.168.10.3,53,17,0.0001628398895263672,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.227115,C5aF5F4DQbtLyzsiS2,192.168.10.19,25133,192.168.10.3,53,17,0.0001900196075439453,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.228582,CK3NDy4xwxgSZXrLd6,192.168.10.19,53306,192.168.10.3,53,17,0.00017118453979492188,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.228884,CmHOJ94ApHM2MjTeT,192.168.10.19,12371,192.168.10.3,53,17,0.0001990795135498047,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.229505,C0sSX14dYtKLkyKoj8,192.168.10.19,58872,192.168.10.3,53,17,0.00021004676818847656,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.229555,CsyZTC3w8Nap7w0Wff,192.168.10.19,35745,192.168.10.3,53,17,0.0001621246337890625,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.22991,CF4YnxIyClQJmrthk,192.168.10.19,36981,192.168.10.3,53,17,0.00021409988403320312,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.22996,C1tdVW3L1IItbUFYs5,192.168.10.19,26610,192.168.10.3,53,17,0.0001671314239501953,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.23147,CNDw3k35weBRGoBG3c,192.168.10.19,27884,192.168.10.3,53,17,0.00019788742065429688,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.266751,CXT01f2QKToO4INNTe,192.168.10.19,6235,192.168.10.3,53,17,0.0002028942108154297,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.267084,Cs196i4v9nx09TXM0f,192.168.10.19,63701,192.168.10.3,53,17,0.0001971721649169922,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.267775,Ci37QOFmexDZjcDNe,192.168.10.19,35902,192.168.10.3,53,17,0.00020885467529296875,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.267824,Cm4CSM2PDLmKvmFWV9,192.168.10.19,28357,192.168.10.3,53,17,0.00016307830810546875,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.268604,CqmzN72mlazQ83jlKi,192.168.10.19,31375,192.168.10.3,53,17,0.00020194053649902344,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.269112,C24oYC385w25uazSs6,192.168.10.19,54131,192.168.10.3,53,17,0.0001628398895263672,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.269384,CWuokW1yc2mfRYfxOc,192.168.10.19,60995,192.168.10.3,53,17,0.0002009868621826172,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.26974,CJZ40V2Ei06dp0bQAl,192.168.10.19,33635,192.168.10.3,53,17,0.00021386146545410156,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.26979,CL10ic1lvopLpctKQ7,192.168.10.19,5681,192.168.10.3,53,17,0.00016617774963378906,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.270843,CebtOX1eDaF6U3AoZ7,192.168.10.19,57812,192.168.10.3,53,17,0.00018906593322753906,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.272094,Ccl7rb3RsYQRvP7vy2,192.168.10.19,50902,192.168.10.3,53,17,0.0001690387725830078,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.27238,CVroIf1XwOKJB4TS48,192.168.10.19,39649,192.168.10.3,53,17,0.00020384788513183594,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.272737,C6GLrl4ADeQ0wSlSdj,192.168.10.19,29497,192.168.10.3,53,17,0.00020694732666015625,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.272785,C4Ys2J3CGs59OR0qt9,192.168.10.19,24276,192.168.10.3,53,17,0.0001621246337890625,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.273101,CPTtru3tE2xetvLVzg,192.168.10.19,49712,192.168.10.3,53,17,0.000209808349609375,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.273151,CtQJhA2jad9avyQja4,192.168.10.19,23406,192.168.10.3,53,17,0.0001621246337890625,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.274592,CcoqiMHxdWnFCkVh9,192.168.10.19,2120,192.168.10.3,53,17,0.0001971721649169922,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342443.470534,Ckk6fp1b3V7hyYMkbd,192.168.10.19,39923,192.168.10.3,53,17,0.00034999847412109375,dns,4,4,116,116,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.271796,C4M2cG1yfKEmfm1xdd,192.168.10.19,63349,192.168.10.3,53,17,0.0001800060272216797,dns,2,2,48,48,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.2718,C76Xgs3TdTvawzVmCd,192.168.10.19,21632,192.168.10.3,53,17,0.00017786026000976562,dns,2,2,48,48,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.272051,C1WjP94NPSft7x0PO3,192.168.10.19,61946,192.168.10.3,53,17,0.00020694732666015625,dns,2,2,48,48,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.272101,CUHIBSY3RLZjm2SPk,192.168.10.19,62952,192.168.10.3,53,17,0.0001590251922607422,dns,2,2,48,48,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.272511,Cky7IJ026cp6vVse9,192.168.10.19,24803,192.168.10.3,53,17,0.024079084396362305,dns,2,2,78,206,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.272559,Cg4byzwwAiI1B7hYi,192.168.10.19,60074,192.168.10.3,53,17,0.048159122467041016,dns,2,2,78,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.272728,CkG0pb27ZYDORiKkVj,192.168.10.3,60126,192.168.10.1,53,17,0.023458003997802734,dns,1,1,50,114,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.272775,CKLXvL3ObZdQaNbAsc,192.168.10.3,60883,192.168.10.1,53,17,0.04774904251098633,dns,1,1,50,105,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.321064,CLBchG9eIp0t41vu4,192.168.10.19,51885,192.168.10.3,53,17,0.07697796821594238,dns,2,2,78,206,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.321068,C7t8gi2tDSgfVuQ38i,192.168.10.19,1029,192.168.10.3,53,17,0.02410101890563965,dns,2,2,78,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.321257,C9a8bb3sa6HwEMw9ui,192.168.10.3,62101,192.168.10.1,53,17,0.07657694816589355,dns,1,1,50,114,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.321297,Cn3Cuv49uAnNyr0Zig,192.168.10.3,60751,192.168.10.1,53,17,0.023676156997680664,dns,1,1,50,105,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.398318,CA6fHD2RfAns8VjQKc,192.168.10.19,34247,192.168.10.3,53,17,0.08348298072814941,dns,2,2,78,206,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.398362,C2RcDO1nR9qipjjke7,192.168.10.19,61312,192.168.10.3,53,17,0.09889101982116699,dns,2,2,78,302,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.398525,CzYLLt49ePKho0QrT4,192.168.10.3,61378,192.168.10.1,53,17,0.0830690860748291,dns,1,1,50,114,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.398565,COqq2u19hsx0kAQwm2,192.168.10.3,61998,192.168.10.1,53,17,0.09847903251647949,dns,1,1,50,162,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.497611,CfYfKO15EDJ5fsvGb7,192.168.10.19,16641,192.168.10.3,53,17,0.07811999320983887,dns,2,2,78,206,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.497615,CTIRpT3wRLshhtdiS9,192.168.10.19,28078,192.168.10.3,53,17,0.023890972137451172,dns,2,2,78,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.4978,CNfBIt12ztIMyYKL92,192.168.10.3,60565,192.168.10.1,53,17,0.07772994041442871,dns,1,1,50,114,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.497835,C7bCJt4jbYLfV8zkr3,192.168.10.3,62075,192.168.10.1,53,17,0.023478031158447266,dns,1,1,50,105,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.575987,CZzjS13OIfR7LVJKh6,192.168.10.19,49646,192.168.10.3,53,17,0.023743867874145508,dns,2,2,64,160,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.576037,CXhdsAa0IEHTCWPvf,192.168.10.19,25209,192.168.10.3,53,17,0.024281978607177734,dns,2,2,64,176,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.576222,C0UzUv4PcsRdBYTPKk,192.168.10.3,60503,192.168.10.1,53,17,0.023321151733398438,dns,1,1,43,91,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.576257,CrVT8z1FJNFMD9vF4c,192.168.10.3,62304,192.168.10.1,53,17,0.023888111114501953,dns,1,1,43,99,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342444.601451,CTSVcv3gpyHEQ9PU38,192.168.10.19,41486,192.168.10.3,53,17,0.00017905235290527344,dns,2,2,80,180,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.602294,Cp6M0R2XumhsxClWde,192.168.10.19,30856,192.168.10.3,53,17,0.00017905235290527344,dns,2,2,138,238,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.602581,CeMZhl3ntue4XAJ179,192.168.10.19,43877,192.168.10.3,53,17,0.0002040863037109375,dns,2,2,76,176,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.606248,CbC1bN12T6cPzlhYud,192.168.10.19,20085,192.168.10.3,53,17,0.00020003318786621094,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.606593,Cw8mB74Zglm6u17dU,192.168.10.19,48365,192.168.10.3,53,17,0.000202178955078125,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.607294,CSTKManV4f4gXu4i9,192.168.10.19,52121,192.168.10.3,53,17,0.00021195411682128906,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.607344,Csmrih2T3cJQjPBhzd,192.168.10.19,14494,192.168.10.3,53,17,0.000164031982421875,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.60812,CZQSQd2NEwx1l7BYIg,192.168.10.19,16496,192.168.10.3,53,17,0.0002009868621826172,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.60859,CFhmhu36QhvU6nshOl,192.168.10.19,6077,192.168.10.3,53,17,0.0001990795135498047,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.608897,C9P6Tc4T9d6igFdp09,192.168.10.19,21673,192.168.10.3,53,17,0.00020194053649902344,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.609248,CxVAvksYeydRIDM13,192.168.10.19,37810,192.168.10.3,53,17,0.00021004676818847656,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.609297,CqLXkZ4AyE6YNH7Wi,192.168.10.19,14284,192.168.10.3,53,17,0.00016307830810546875,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.61034,CXukBk3QzKIrJQIJO8,192.168.10.19,31831,192.168.10.3,53,17,0.00018787384033203125,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.611625,CWbFlQ2mfBFJ67wNqf,192.168.10.19,62100,192.168.10.3,53,17,0.00016498565673828125,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.611913,CKGaom44Fve1E6bex5,192.168.10.19,43258,192.168.10.3,53,17,0.00019598007202148438,dns,2,2,88,188,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.612276,Ccdtgi4E8h6VXVxZm5,192.168.10.19,17113,192.168.10.3,53,17,0.00021600723266601562,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.612326,C7O365374sf71FmOOe,192.168.10.19,48714,192.168.10.3,53,17,0.0001671314239501953,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.612659,CljeRK3HAJBGGHjl8c,192.168.10.19,33555,192.168.10.3,53,17,0.00020694732666015625,dns,2,2,64,96,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.612708,CBop3qckqW7tAwm5,192.168.10.19,48571,192.168.10.3,53,17,0.00015997886657714844,dns,2,2,64,158,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.614147,CBnevS1D6VRAGRuMZa,192.168.10.19,1231,192.168.10.3,53,17,0.0001590251922607422,dns,2,2,102,224,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342395.411737,CnNPYi3eqw587xE6gi,192.168.10.50,123,129.6.15.29,123,17,0.030352115631103516,ntp,1,1,48,48,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342436.333615,CH29w54M1bP9uWp1ff,192.168.10.19,5353,224.0.0.251,5353,17,5.1755218505859375,dns,149,0,22927,0,00:23:ae:9b:ad:b3,01:00:5e:00:00:fb,S0,D,conn,->,benign
1499342453.155742,CRbNsk2jyeeBdpgbGh,192.168.10.12,34930,192.168.10.3,389,6,0.0004420280456542969,,12,8,86,163,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,RSTR,ShADTdtFar,conn,->,malicious
1499342453.221239,C8hL3y1Q5JFAvVknj3,192.168.10.12,44256,192.168.10.3,88,6,0.0011909008026123047,krb_tcp,10,10,1555,1554,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,RSTR,ShADaTdtFr,conn,->,malicious
1499342437.697911,C485LD4IClmcYTWCF9,fe80::223:aeff:fe9b:adb3,5353,ff02::fb,5353,17,3.81118106842041,dns,88,0,19310,0,00:23:ae:9b:ad:b3,33:33:00:00:00:fb,S0,D,conn,->,benign
1499342438.152213,CU4yEL3LVr47ewxU84,192.168.10.19,137,192.168.10.255,137,17,3.3789939880371094,dns,205,0,13760,0,00:23:ae:9b:ad:b3,ff:ff:ff:ff:ff:ff,S0,D,conn,->,malicious
1499342453.71695,CewBUbd7skKLPSv3g,192.168.10.50,33908,192.168.10.3,389,6,0.0005140304565429688,,12,8,86,163,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,RSTR,ShADTdtFar,conn,->,malicious
1499342453.722749,CDj0Eb17wfingy0M25,192.168.10.12,34936,192.168.10.3,389,6,0.001085042953491211,,12,8,86,163,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,RSTR,ShADTdtFar,conn,->,malicious
1499342453.748146,CVhRso4fEFJ7AhDAEe,192.168.10.12,44262,192.168.10.3,88,6,0.0011358261108398438,krb_tcp,10,10,1555,1554,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,RSTR,ShADaTdtFr,conn,->,malicious
1499342453.818195,CVVBYVazM3H7DTRg9,192.168.10.50,59704,192.168.10.3,88,6,0.00125885009765625,krb_tcp,10,10,1593,1592,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,RSTR,ShADTadtFr,conn,->,malicious
1499342439.94904,CZqBkc2D3aJjSnbDvb,192.168.10.3,137,192.168.10.255,137,17,1.5820260047912598,dns,28,0,1400,0,18:66:da:9b:e3:7d,ff:ff:ff:ff:ff:ff,S0,D,conn,->,benign
1499342453.135867,CznEUyzni3Zs2fUCg,192.168.10.12,25324,192.168.10.3,53,17,0.0002548694610595703,dns,2,2,68,132,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342453.135871,CfvFX7NIxTokYZR1h,192.168.10.12,35603,192.168.10.3,53,17,0.00026798248291015625,dns,2,2,68,190,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342453.155359,C3Hwgy3A7EdBlKc4b2,192.168.10.12,30986,192.168.10.3,53,17,0.00017905235290527344,dns,2,2,80,180,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342453.156183,Ca6xIIkW7NDiyLPWk,192.168.10.12,13918,192.168.10.3,53,17,0.00016689300537109375,dns,2,2,142,242,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342453.156433,CqqDo03hjYV3x2YR9i,192.168.10.12,51981,192.168.10.3,53,17,0.00019884109497070312,dns,2,2,80,180,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342453.157619,CMe3CwSRFAIXOrxM3,192.168.10.12,54430,192.168.10.3,53,17,0.0001780986785888672,dns,2,2,68,132,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342453.157624,Cj6AIc1GUpD48Cyf4f,192.168.10.12,62586,192.168.10.3,53,17,0.00023603439331054688,dns,2,2,68,190,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
