uid,flow,label,profileid,twid,aid
CEnBFx331mWR1dVd21,"{""starttime"": 1499342443.20443, ""uid"": ""CEnBFx331mWR1dVd21"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0005660057067871094, ""proto"": ""tcp"", ""appproto"": """", ""sport"": 32791, ""dport"": 389, ""spkts"": 12, ""dpkts"": 8, ""sbytes"": 86, ""dbytes"": 163, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""RSTR"", ""history"": ""ShADTdtFar"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,MTg0OGE0ZjczNDc3Mjg0NTdiMDUzM2ZhYjliYzAxNmFiNTUyMTljMA==
CKOkto6v9f2wyMbsc,"{""starttime"": 1499342443.230212, ""uid"": ""CKOkto6v9f2wyMbsc"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0012669563293457031, ""proto"": ""tcp"", ""appproto"": """", ""sport"": 41567, ""dport"": 88, ""spkts"": 11, ""dpkts"": 10, ""sbytes"": 1575, ""dbytes"": 1576, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""RSTR"", ""history"": ""ShADaGTdtFr"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,M2Q1MTZkNTEyZWY4YjEyOGM0MGRlZjY2YzhhMjZhMzMwMTc3MjY4Nw==
CRli341yIal6JYiACk,"{""starttime"": 1499342443.205802, ""uid"": ""CRli341yIal6JYiACk"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.027805089950561523, ""proto"": ""tcp"", ""appproto"": """", ""sport"": 32792, ""dport"": 389, ""spkts"": 18, ""dpkts"": 15, ""sbytes"": 1725, ""dbytes"": 3327, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""RSTR"", ""history"": ""ShADTdtFr"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,NjRhMWY1OWNkNzE4Mzg3ZTQ4N2JkMTJiYTc3N2UyNzM4NDI4ZmE1NA==
CejXh32Ao6aLM8CPG2,"{""starttime"": 1499342443.273382, ""uid"": ""CejXh32Ao6aLM8CPG2"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.001207113265991211, ""proto"": ""tcp"", ""appproto"": ""krb_tcp"", ""sport"": 41569, ""dport"": 88, ""spkts"": 10, ""dpkts"": 10, ""sbytes"": 1575, ""dbytes"": 1576, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""RSTR"", ""history"": ""ShADaTdtFr"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZWViMWE3Njg1ZjVmOTU4ZWM1YjRkYTc2NWFkZTM1MWJkMTQ4Mjg3Mg==
CKagAq3YD6lDC7Iaw8,"{""starttime"": 1499342439.016147, ""uid"": ""CKagAq3YD6lDC7Iaw8"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002570152282714844, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 40356, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 68, ""dbytes"": 132, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,YTJlNDA1ZjJiNWE5NmI5Y2E4MzQ0NDY1Mjg3MDM3Yjc3ZmMyYWFiNg==
CaOHTa1enliIwAmZ68,"{""starttime"": 1499342439.016151, ""uid"": ""CaOHTa1enliIwAmZ68"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0003020763397216797, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 31849, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 68, ""dbytes"": 190, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZTA1NWM4NmQxNmMzZDA3NTc0YWEyZGZhOGEzMmQwYmUxYTY1YTU3Ng==
CgrcwFEo4QA4vfVba,"{""starttime"": 1499342444.601796, ""uid"": ""CgrcwFEo4QA4vfVba"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00046515464782714844, ""proto"": ""tcp"", ""appproto"": """", ""sport"": 32798, ""dport"": 389, ""spkts"": 12, ""dpkts"": 8, ""sbytes"": 86, ""dbytes"": 163, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""RSTR"", ""history"": ""ShADTdtFar"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,MDU2ODJlMmQ1ZjAwNWJlNjI5OWFmOWU4NDIzMTgxZjgyNTk0MTFjMQ==
C3lPmWXnExe42i5s9,"{""starttime"": 1499342444.612962, ""uid"": ""C3lPmWXnExe42i5s9"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.001146078109741211, ""proto"": ""tcp"", ""appproto"": ""krb_tcp"", ""sport"": 41574, ""dport"": 88, ""spkts"": 10, ""dpkts"": 10, ""sbytes"": 1575, ""dbytes"": 1576, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""RSTR"", ""history"": ""ShADTadtFr"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,Zjk2YzU2ZDZmMzNiZDk5N2YwZDY5NzViMTA5NjdjMjlkYTMyMDdmMQ==
CrDUxx4prifD59wQrl,"{""starttime"": 1499342443.20399, ""uid"": ""CrDUxx4prifD59wQrl"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00024390220642089844, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 44302, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 80, ""dbytes"": 180, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,YTQzODgwZjcxN2QxODc0Y2RiZGQ0MWYxYmU4M2I5MzY5NWM0NWQwYw==
CEVKChTBqzuSUReXi,"{""starttime"": 1499342443.205024, ""uid"": ""CEVKChTBqzuSUReXi"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002040863037109375, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 24231, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 142, ""dbytes"": 242, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,NzZlNDE2NWEwYWM1YmFmMDU2NzVhODc5MmYwMmM0NGI0ZDk2MmViMg==
CX519kkxPCHW5uJi1,"{""starttime"": 1499342443.205343, ""uid"": ""CX519kkxPCHW5uJi1"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002090930938720703, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 27139, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 80, ""dbytes"": 180, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,YjQ5ZjlmYjIyNGVkNjA4OTZkYzFiYmMwMTdmZWI5Yjk2MzZiYzczMQ==
CW0je5ZEPMvuNP6U4,"{""starttime"": 1499342443.209364, ""uid"": ""CW0je5ZEPMvuNP6U4"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00020503997802734375, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 49445, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 88, ""dbytes"": 188, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZTBjYjAzN2ZkYzM3NjY3ZjkwNDFiYTM4ZTJhMmE4M2I0ZDhiZmZmMQ==
C4HEDk3Yy3gj6Tkk,"{""starttime"": 1499342443.209706, ""uid"": ""C4HEDk3Yy3gj6Tkk"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002028942108154297, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 34522, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 88, ""dbytes"": 188, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZTZiYzMzMmIyMTlhNWFlNTdiNjIxZDcwZjc3ZWFmZmUyMjZlN2U3NQ==
CqfAdv1gAqgV9QYU8f,"{""starttime"": 1499342443.210472, ""uid"": ""CqfAdv1gAqgV9QYU8f"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00019097328186035156, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 49763, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 96, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZTMxMTEzZjAzMWU4MGUyYzkzMGRhMzkzMWY1YjE5NTU0MTQwMzRiZA==
CScStl4FEl0zzrmW4l,"{""starttime"": 1499342443.210477, ""uid"": ""CScStl4FEl0zzrmW4l"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002357959747314453, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 14308, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 158, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,MmJhMjU5ZDQ1YzFlNjNjOGQ4NGM1MTE1MWVlODQzNDZjMGVjZDk0YQ==
CkIptV3X5RbXSUfSc3,"{""starttime"": 1499342443.21147, ""uid"": ""CkIptV3X5RbXSUfSc3"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002090930938720703, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 27081, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 102, ""dbytes"": 224, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZjgzYjQ1NjhmMmY5ZmE5OTNjNjkxYTMzZDM0ZDM1MjBjOGNjZTExZA==
CChW7OlaoUZfqvysc,"{""starttime"": 1499342443.211947, ""uid"": ""CChW7OlaoUZfqvysc"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00021600723266601562, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 65205, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 88, ""dbytes"": 188, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,OTliYzI4NTc1MmVlODgwNzFlNjRiZTI4NWJlZjIwZDAyMmYzZjQ0Nw==
C1pXXb3cWU2ikAkQHb,"{""starttime"": 1499342443.21227, ""uid"": ""C1pXXb3cWU2ikAkQHb"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002079010009765625, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 19704, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 88, ""dbytes"": 188, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,MjVlODM3MjMwNjZhNTNmZjc0Zjg1ZWJhMGIzNjVhMTgxZDc5ZGIzYw==
CJFW9c4HKQbuLNYj9d,"{""starttime"": 1499342443.212626, ""uid"": ""CJFW9c4HKQbuLNYj9d"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00021004676818847656, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 41900, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 96, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,MTUwZTRkZmQxZmI5Yjk3YWVmNDY1MjRiMjQ3MjJlMjU3ZTIyMzgxYw==
CB0un1GiI4Q5pXXN2,"{""starttime"": 1499342443.212675, ""uid"": ""CB0un1GiI4Q5pXXN2"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0001628398895263672, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 29080, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 158, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,M2U2ZTE5ZGE5ZmRiOWJiN2FiNWYzZWQ0NjZiNzlkNTA2OWFkNTVmZQ==
C5aF5F4DQbtLyzsiS2,"{""starttime"": 1499342443.227115, ""uid"": ""C5aF5F4DQbtLyzsiS2"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0001900196075439453, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 25133, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 102, ""dbytes"": 224, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ZDljYzBmM2E2MzBmNTMwNTFkNjcwMTI4NWFiZWEzZTZlNTQzNzhlOA==
CK3NDy4xwxgSZXrLd6,"{""starttime"": 1499342443.228582, ""uid"": ""CK3NDy4xwxgSZXrLd6"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00017118453979492188, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 53306, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 88, ""dbytes"": 188, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ODY0N2I1M2NhMTMwYzFiNTBkN2Q2YWMyOWVkZjdlMjBjMGIwZmRmNw==
CmHOJ94ApHM2MjTeT,"{""starttime"": 1499342443.228884, ""uid"": ""CmHOJ94ApHM2MjTeT"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0001990795135498047, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 12371, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 88, ""dbytes"": 188, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,YzUzZGEzMmVjZmFkMDQ1YjA4NWU0ZWFkMDUwYjIzMjg3ZWM4ZjRjNg==
C0sSX14dYtKLkyKoj8,"{""starttime"": 1499342443.229505, ""uid"": ""C0sSX14dYtKLkyKoj8"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00021004676818847656, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 58872, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 96, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,NDkyZDFiMzRiZTljNDgxZGYwOWRhZDMzYmY2ZTRhMDA5ZDRlYzU0NQ==
CsyZTC3w8Nap7w0Wff,"{""starttime"": 1499342443.229555, ""uid"": ""CsyZTC3w8Nap7w0Wff"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0001621246337890625, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 35745, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 158, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,N2U0ZDBmMjg5OGMyZDBiYmQzZjg0MGMwMzk1NmIwZGUxOGUyOTA4Mg==
CF4YnxIyClQJmrthk,"{""starttime"": 1499342443.22991, ""uid"": ""CF4YnxIyClQJmrthk"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00021409988403320312, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 36981, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 64, ""dbytes"": 96, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,OGRiNmQ0NTY3ZWMzZjQyODU5ZDA2OTQyZjFmOWViN2IyMmY2OWEzYg==
